loc,function_count,avg_function_length,max_function_length,cyclomatic_complexity,max_nesting_depth,total_issue_count,security_issue_count,duplication_ratio,dependency_risk_score,has_tests,structural_risk,security_risk,maintainability_risk,test_risk,overall_risk
169,9,0.0,0,4,0,0,0,0.31362178585494854,0.03,1,0.12,0.009,0.2682,0.0,0.0983
37,2,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
72,7,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
280,12,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
34,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
108,8,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
277,10,0.0,0,4,0,0,0,0.31362178585494854,0.03,1,0.12,0.009,0.2682,0.0,0.0983
364,30,0.0,0,11,0,1,0,0.31362178585494854,0.03,1,0.37,0.009,0.4082,0.0,0.2138
186,8,0.0,0,4,0,0,0,0.31362178585494854,0.03,1,0.12,0.009,0.2682,0.0,0.0983
17,2,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
50,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
385,14,0.0,0,1,0,1,0,0.31362178585494854,0.03,1,0.07,0.009,0.2082,0.0,0.0688
18,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
601,29,0.0,0,8,0,1,0,0.31362178585494854,0.03,1,0.28,0.009,0.3482,0.0,0.1703
164,7,0.0,0,7,0,0,0,0.31362178585494854,0.03,1,0.21,0.009,0.3282,0.0,0.1418
189,8,0.0,0,2,0,0,0,0.31362178585494854,0.03,1,0.06,0.009,0.2282,0.0,0.0693
21,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
14,2,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
12,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
25,2,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
12,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
168,13,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
172,13,0.0,0,5,0,0,0,0.31362178585494854,0.03,1,0.15,0.009,0.2882,0.0,0.1128
69,2,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
128,27,0.0,0,6,0,1,0,0.31362178585494854,0.03,1,0.22,0.009,0.3082,0.0,0.1413
118,20,0.0,0,6,0,1,0,0.31362178585494854,0.03,1,0.22,0.009,0.3082,0.0,0.1413
96,12,0.0,0,2,0,0,0,0.31362178585494854,0.03,1,0.06,0.009,0.2282,0.0,0.0693
87,14,0.0,0,1,0,1,0,0.31362178585494854,0.03,1,0.07,0.009,0.2082,0.0,0.0688
78,17,0.0,0,3,0,1,0,0.31362178585494854,0.03,1,0.13,0.009,0.2482,0.0,0.0978
68,22,0.0,0,5,0,1,0,0.31362178585494854,0.03,1,0.19,0.009,0.2882,0.0,0.1268
0,0,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
0,0,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
0,0,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
29,0,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
19,0,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
7,0,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
30,1,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
